1,2,3,4,5,6,7,8
0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775
0.7708333,0.7708333,0.7708333,0.7708333,0.7708333,0.7708333,0.7708333,0.7708333
0.76666665,0.76666665,0.76666665,0.76666665,0.76666665,0.76666665,0.76666665,0.76666665
0.6041666,0.6041666,0.6041666,0.6041666,0.6041666,0.6041666,0.6041666,0.6041666
0.6833333,0.6833333,0.6833333,0.6833333,0.6833333,0.6833333,0.6833333,0.6833333
0.64166665,0.64166665,0.64166665,0.64166665,0.64166665,0.64166665,0.64166665,0.64166665
0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125
0.6958333,0.6958333,0.6958333,0.6958333,0.6958333,0.6958333,0.6958333,0.6958333
0.725,0.725,0.725,0.725,0.725,0.725,0.725,0.725
0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625
0.6208333,0.6208333,0.6208333,0.6208333,0.6208333,0.6208333,0.6208333,0.6208333
0.6708333,0.6708333,0.6708333,0.6708333,0.6708333,0.6708333,0.6708333,0.6708333
0.78333336,0.78333336,0.78333336,0.78333336,0.78333336,0.78333336,0.78333336,0.78333336
0.7375,0.7375,0.7375,0.7375,0.7375,0.7375,0.7375,0.7375
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875
0.7916666,0.7916666,0.7916666,0.7916666,0.7916666,0.7916666,0.7916666,0.7916666
0.69166666,0.69166666,0.69166666,0.69166666,0.69166666,0.69166666,0.69166666,0.69166666
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
0.75416666,0.75416666,0.75416666,0.75416666,0.75416666,0.75416666,0.75416666,0.75416666
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.6458333,0.6458333,0.6458333,0.6458333,0.6458333,0.6458333,0.6458333,0.6458333
0.7458333,0.7458333,0.7458333,0.7458333,0.7458333,0.7458333,0.7458333,0.7458333
0.6791667,0.6791667,0.6791667,0.6791667,0.6791667,0.6791667,0.6791667,0.6791667
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.7583333,0.7583333,0.7583333,0.7583333,0.7583333,0.7583333,0.7583333,0.7583333
0.77916664,0.77916664,0.77916664,0.77916664,0.77916664,0.77916664,0.77916664,0.77916664
0.62916666,0.62916666,0.62916666,0.62916666,0.62916666,0.62916666,0.62916666,0.62916666
0.7416667,0.7416667,0.7416667,0.7416667,0.7416667,0.7416667,0.7416667,0.7416667
0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675
0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125
0.71666664,0.71666664,0.71666664,0.71666664,0.71666664,0.71666664,0.71666664,0.71666664
0.7083333,0.7083333,0.7083333,0.7083333,0.7083333,0.7083333,0.7083333,0.7083333
0.6583333,0.6583333,0.6583333,0.6583333,0.6583333,0.6583333,0.6583333,0.6583333
0.6666666,0.6666666,0.6666666,0.6666666,0.6666666,0.6666666,0.6666666,0.6666666
0.7333333,0.7333333,0.7333333,0.7333333,0.7333333,0.7333333,0.7333333,0.7333333
0.65416664,0.65416664,0.65416664,0.65416664,0.65416664,0.65416664,0.65416664,0.65416664
0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625
0.6375,0.6375,0.6375,0.6375,0.6375,0.6375,0.6375,0.6375
0.6333333,0.6333333,0.6333333,0.6333333,0.6333333,0.6333333,0.6333333,0.6333333
0.7875,0.7875,0.7875,0.7875,0.7875,0.7875,0.7875,0.7875
0.6083333,0.6083333,0.6083333,0.6083333,0.6083333,0.6083333,0.6083333,0.6083333
0.6166667,0.6166667,0.6166667,0.6166667,0.6166667,0.6166667,0.6166667,0.6166667
0.70416665,0.70416665,0.70416665,0.70416665,0.70416665,0.70416665,0.70416665,0.70416665
0.7208333,0.7208333,0.7208333,0.7208333,0.7208333,0.7208333,0.7208333,0.7208333
0.79583335,0.79583335,0.79583335,0.79583335,0.79583335,0.79583335,0.79583335,0.79583335
0.7291666,0.7291666,0.7291666,0.7291666,0.7291666,0.7291666,0.7291666,0.7291666
0.3511111,0.3511111,0.3511111,0.3511111,0.3511111,0.3511111,0.3511111,0.3511111
0.3911111,0.3911111,0.3911111,0.3911111,0.3911111,0.3911111,0.3911111,0.3911111
0.34666666,0.34666666,0.34666666,0.34666666,0.34666666,0.34666666,0.34666666,0.34666666
0.3688889,0.3688889,0.3688889,0.3688889,0.3688889,0.3688889,0.3688889,0.3688889
0.3288889,0.3288889,0.3288889,0.3288889,0.3288889,0.3288889,0.3288889,0.3288889
0.29333335,0.29333335,0.29333335,0.29333335,0.29333335,0.29333335,0.29333335,0.29333335
0.3866667,0.3866667,0.3866667,0.3866667,0.3866667,0.3866667,0.3866667,0.3866667
0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333,0.3333333
0.26222223,0.26222223,0.26222223,0.26222223,0.26222223,0.26222223,0.26222223,0.26222223
0.22666666,0.22666666,0.22666666,0.22666666,0.22666666,0.22666666,0.22666666,0.22666666
0.25333333,0.25333333,0.25333333,0.25333333,0.25333333,0.25333333,0.25333333,0.25333333
0.24444444,0.24444444,0.24444444,0.24444444,0.24444444,0.24444444,0.24444444,0.24444444
0.2711111,0.2711111,0.2711111,0.2711111,0.2711111,0.2711111,0.2711111,0.2711111
0.35555556,0.35555556,0.35555556,0.35555556,0.35555556,0.35555556,0.35555556,0.35555556
0.25777778,0.25777778,0.25777778,0.25777778,0.25777778,0.25777778,0.25777778,0.25777778
0.39555556,0.39555556,0.39555556,0.39555556,0.39555556,0.39555556,0.39555556,0.39555556
0.3377778,0.3377778,0.3377778,0.3377778,0.3377778,0.3377778,0.3377778,0.3377778
0.29777777,0.29777777,0.29777777,0.29777777,0.29777777,0.29777777,0.29777777,0.29777777
0.30666667,0.30666667,0.30666667,0.30666667,0.30666667,0.30666667,0.30666667,0.30666667
0.21777777,0.21777777,0.21777777,0.21777777,0.21777777,0.21777777,0.21777777,0.21777777
0.21333332,0.21333332,0.21333332,0.21333332,0.21333332,0.21333332,0.21333332,0.21333332
0.28888887,0.28888887,0.28888887,0.28888887,0.28888887,0.28888887,0.28888887,0.28888887
0.26666665,0.26666665,0.26666665,0.26666665,0.26666665,0.26666665,0.26666665,0.26666665
0.24000001,0.24000001,0.24000001,0.24000001,0.24000001,0.24000001,0.24000001,0.24000001
0.28444442,0.28444442,0.28444442,0.28444442,0.28444442,0.28444442,0.28444442,0.28444442
0.38222224,0.38222224,0.38222224,0.38222224,0.38222224,0.38222224,0.38222224,0.38222224
0.20888889,0.20888889,0.20888889,0.20888889,0.20888889,0.20888889,0.20888889,0.20888889
0.31111112,0.31111112,0.31111112,0.31111112,0.31111112,0.31111112,0.31111112,0.31111112
0.20444445,0.20444445,0.20444445,0.20444445,0.20444445,0.20444445,0.20444445,0.20444445
0.2311111,0.2311111,0.2311111,0.2311111,0.2311111,0.2311111,0.2311111,0.2311111
0.31555554,0.31555554,0.31555554,0.31555554,0.31555554,0.31555554,0.31555554,0.31555554
0.36444443,0.36444443,0.36444443,0.36444443,0.36444443,0.36444443,0.36444443,0.36444443
0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
0.37777776,0.37777776,0.37777776,0.37777776,0.37777776,0.37777776,0.37777776,0.37777776
0.27555555,0.27555555,0.27555555,0.27555555,0.27555555,0.27555555,0.27555555,0.27555555
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
0.32444444,0.32444444,0.32444444,0.32444444,0.32444444,0.32444444,0.32444444,0.32444444
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.35999998,0.35999998,0.35999998,0.35999998,0.35999998,0.35999998,0.35999998,0.35999998
0.3422222,0.3422222,0.3422222,0.3422222,0.3422222,0.3422222,0.3422222,0.3422222
0.22222224,0.22222224,0.22222224,0.22222224,0.22222224,0.22222224,0.22222224,0.22222224
0.37333333,0.37333333,0.37333333,0.37333333,0.37333333,0.37333333,0.37333333,0.37333333
0.24888888,0.24888888,0.24888888,0.24888888,0.24888888,0.24888888,0.24888888,0.24888888
0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
0.30222222,0.30222222,0.30222222,0.30222222,0.30222222,0.30222222,0.30222222,0.30222222
0.23555556,0.23555556,0.23555556,0.23555556,0.23555556,0.23555556,0.23555556,0.23555556
0.41276598,0.41276598,0.41276598,0.41276598,0.41276598,0.41276598,0.41276598,0.41276598
0.5361702,0.5361702,0.5361702,0.5361702,0.5361702,0.5361702,0.5361702,0.5361702
0.57872343,0.57872343,0.57872343,0.57872343,0.57872343,0.57872343,0.57872343,0.57872343
0.5702127,0.5702127,0.5702127,0.5702127,0.5702127,0.5702127,0.5702127,0.5702127
0.5319149,0.5319149,0.5319149,0.5319149,0.5319149,0.5319149,0.5319149,0.5319149
0.5659574,0.5659574,0.5659574,0.5659574,0.5659574,0.5659574,0.5659574,0.5659574
0.46382982,0.46382982,0.46382982,0.46382982,0.46382982,0.46382982,0.46382982,0.46382982
0.5489362,0.5489362,0.5489362,0.5489362,0.5489362,0.5489362,0.5489362,0.5489362
0.5914894,0.5914894,0.5914894,0.5914894,0.5914894,0.5914894,0.5914894,0.5914894
0.5829787,0.5829787,0.5829787,0.5829787,0.5829787,0.5829787,0.5829787,0.5829787
0.5531915,0.5531915,0.5531915,0.5531915,0.5531915,0.5531915,0.5531915,0.5531915
0.41702127,0.41702127,0.41702127,0.41702127,0.41702127,0.41702127,0.41702127,0.41702127
0.48510638,0.48510638,0.48510638,0.48510638,0.48510638,0.48510638,0.48510638,0.48510638
0.4680851,0.4680851,0.4680851,0.4680851,0.4680851,0.4680851,0.4680851,0.4680851
0.5276596,0.5276596,0.5276596,0.5276596,0.5276596,0.5276596,0.5276596,0.5276596
0.49787235,0.49787235,0.49787235,0.49787235,0.49787235,0.49787235,0.49787235,0.49787235
0.42553192,0.42553192,0.42553192,0.42553192,0.42553192,0.42553192,0.42553192,0.42553192
0.4382979,0.4382979,0.4382979,0.4382979,0.4382979,0.4382979,0.4382979,0.4382979
0.4893617,0.4893617,0.4893617,0.4893617,0.4893617,0.4893617,0.4893617,0.4893617
0.51489365,0.51489365,0.51489365,0.51489365,0.51489365,0.51489365,0.51489365,0.51489365
0.51063836,0.51063836,0.51063836,0.51063836,0.51063836,0.51063836,0.51063836,0.51063836
0.56170213,0.56170213,0.56170213,0.56170213,0.56170213,0.56170213,0.56170213,0.56170213
0.50212765,0.50212765,0.50212765,0.50212765,0.50212765,0.50212765,0.50212765,0.50212765
0.587234,0.587234,0.587234,0.587234,0.587234,0.587234,0.587234,0.587234
0.5744681,0.5744681,0.5744681,0.5744681,0.5744681,0.5744681,0.5744681,0.5744681
0.47659573,0.47659573,0.47659573,0.47659573,0.47659573,0.47659573,0.47659573,0.47659573
0.48085108,0.48085108,0.48085108,0.48085108,0.48085108,0.48085108,0.48085108,0.48085108
0.43404254,0.43404254,0.43404254,0.43404254,0.43404254,0.43404254,0.43404254,0.43404254
0.506383,0.506383,0.506383,0.506383,0.506383,0.506383,0.506383,0.506383
0.4425532,0.4425532,0.4425532,0.4425532,0.4425532,0.4425532,0.4425532,0.4425532
0.493617,0.493617,0.493617,0.493617,0.493617,0.493617,0.493617,0.493617
0.55744684,0.55744684,0.55744684,0.55744684,0.55744684,0.55744684,0.55744684,0.55744684
0.42127663,0.42127663,0.42127663,0.42127663,0.42127663,0.42127663,0.42127663,0.42127663
0.52340424,0.52340424,0.52340424,0.52340424,0.52340424,0.52340424,0.52340424,0.52340424
0.45531917,0.45531917,0.45531917,0.45531917,0.45531917,0.45531917,0.45531917,0.45531917
0.45957446,0.45957446,0.45957446,0.45957446,0.45957446,0.45957446,0.45957446,0.45957446
0.54042554,0.54042554,0.54042554,0.54042554,0.54042554,0.54042554,0.54042554,0.54042554
0.40425533,0.40425533,0.40425533,0.40425533,0.40425533,0.40425533,0.40425533,0.40425533
0.5957447,0.5957447,0.5957447,0.5957447,0.5957447,0.5957447,0.5957447,0.5957447
0.47234043,0.47234043,0.47234043,0.47234043,0.47234043,0.47234043,0.47234043,0.47234043
0.4510638,0.4510638,0.4510638,0.4510638,0.4510638,0.4510638,0.4510638,0.4510638
0.51914895,0.51914895,0.51914895,0.51914895,0.51914895,0.51914895,0.51914895,0.51914895
0.42978725,0.42978725,0.42978725,0.42978725,0.42978725,0.42978725,0.42978725,0.42978725
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.5446809,0.5446809,0.5446809,0.5446809,0.5446809,0.5446809,0.5446809,0.5446809
0.40851063,0.40851063,0.40851063,0.40851063,0.40851063,0.40851063,0.40851063,0.40851063
0.44680852,0.44680852,0.44680852,0.44680852,0.44680852,0.44680852,0.44680852,0.44680852
0.91428566,0.91428566,0.91428566,0.91428566,0.91428566,0.91428566,0.91428566,0.91428566
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.88571435,0.88571435,0.88571435,0.88571435,0.88571435,0.88571435,0.88571435,0.88571435
0.94285715,0.94285715,0.94285715,0.94285715,0.94285715,0.94285715,0.94285715,0.94285715
0.8163265,0.8163265,0.8163265,0.8163265,0.8163265,0.8163265,0.8163265,0.8163265
0.83265305,0.83265305,0.83265305,0.83265305,0.83265305,0.83265305,0.83265305,0.83265305
0.9918367,0.9918367,0.9918367,0.9918367,0.9918367,0.9918367,0.9918367,0.9918367
0.9632653,0.9632653,0.9632653,0.9632653,0.9632653,0.9632653,0.9632653,0.9632653
0.9061224,0.9061224,0.9061224,0.9061224,0.9061224,0.9061224,0.9061224,0.9061224
0.9877551,0.9877551,0.9877551,0.9877551,0.9877551,0.9877551,0.9877551,0.9877551
0.8040816,0.8040816,0.8040816,0.8040816,0.8040816,0.8040816,0.8040816,0.8040816
0.93469393,0.93469393,0.93469393,0.93469393,0.93469393,0.93469393,0.93469393,0.93469393
0.9469388,0.9469388,0.9469388,0.9469388,0.9469388,0.9469388,0.9469388,0.9469388
0.86938775,0.86938775,0.86938775,0.86938775,0.86938775,0.86938775,0.86938775,0.86938775
0.8897959,0.8897959,0.8897959,0.8897959,0.8897959,0.8897959,0.8897959,0.8897959
0.922449,0.922449,0.922449,0.922449,0.922449,0.922449,0.922449,0.922449
0.9959184,0.9959184,0.9959184,0.9959184,0.9959184,0.9959184,0.9959184,0.9959184
0.92653066,0.92653066,0.92653066,0.92653066,0.92653066,0.92653066,0.92653066,0.92653066
0.9183674,0.9183674,0.9183674,0.9183674,0.9183674,0.9183674,0.9183674,0.9183674
0.8571428,0.8571428,0.8571428,0.8571428,0.8571428,0.8571428,0.8571428,0.8571428
0.93877554,0.93877554,0.93877554,0.93877554,0.93877554,0.93877554,0.93877554,0.93877554
0.87755096,0.87755096,0.87755096,0.87755096,0.87755096,0.87755096,0.87755096,0.87755096
0.8408163,0.8408163,0.8408163,0.8408163,0.8408163,0.8408163,0.8408163,0.8408163
0.8530612,0.8530612,0.8530612,0.8530612,0.8530612,0.8530612,0.8530612,0.8530612
0.8653061,0.8653061,0.8653061,0.8653061,0.8653061,0.8653061,0.8653061,0.8653061
0.8081633,0.8081633,0.8081633,0.8081633,0.8081633,0.8081633,0.8081633,0.8081633
0.9714286,0.9714286,0.9714286,0.9714286,0.9714286,0.9714286,0.9714286,0.9714286
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8979591,0.8979591,0.8979591,0.8979591,0.8979591,0.8979591,0.8979591,0.8979591
0.93061227,0.93061227,0.93061227,0.93061227,0.93061227,0.93061227,0.93061227,0.93061227
0.96734697,0.96734697,0.96734697,0.96734697,0.96734697,0.96734697,0.96734697,0.96734697
0.9551021,0.9551021,0.9551021,0.9551021,0.9551021,0.9551021,0.9551021,0.9551021
0.8489796,0.8489796,0.8489796,0.8489796,0.8489796,0.8489796,0.8489796,0.8489796
0.97959185,0.97959185,0.97959185,0.97959185,0.97959185,0.97959185,0.97959185,0.97959185
0.90204084,0.90204084,0.90204084,0.90204084,0.90204084,0.90204084,0.90204084,0.90204084
0.87346935,0.87346935,0.87346935,0.87346935,0.87346935,0.87346935,0.87346935,0.87346935
0.8448979,0.8448979,0.8448979,0.8448979,0.8448979,0.8448979,0.8448979,0.8448979
0.9102041,0.9102041,0.9102041,0.9102041,0.9102041,0.9102041,0.9102041,0.9102041
0.8122449,0.8122449,0.8122449,0.8122449,0.8122449,0.8122449,0.8122449,0.8122449
0.9510204,0.9510204,0.9510204,0.9510204,0.9510204,0.9510204,0.9510204,0.9510204
0.82040817,0.82040817,0.82040817,0.82040817,0.82040817,0.82040817,0.82040817,0.82040817
0.8244898,0.8244898,0.8244898,0.8244898,0.8244898,0.8244898,0.8244898,0.8244898
